, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
459,@nytimes,0.1027,Wed Aug 01 06:07:20 +0000 2018,0.085,0.813,0.102,60
460,@nytimes,-0.1531,Wed Aug 01 06:07:18 +0000 2018,0.131,0.763,0.106,61
461,@nytimes,0.2732,Wed Aug 01 06:07:18 +0000 2018,0.0,0.877,0.123,62
462,@nytimes,-0.296,Wed Aug 01 06:07:08 +0000 2018,0.128,0.872,0.0,63
463,@nytimes,-0.7579,Wed Aug 01 06:07:07 +0000 2018,0.228,0.772,0.0,64
464,@nytimes,0.2732,Wed Aug 01 06:07:01 +0000 2018,0.0,0.913,0.087,65
465,@nytimes,0.3612,Wed Aug 01 06:07:00 +0000 2018,0.0,0.906,0.094,66
466,@nytimes,0.4939,Wed Aug 01 06:07:00 +0000 2018,0.0,0.873,0.127,67
467,@nytimes,0.0,Wed Aug 01 06:06:51 +0000 2018,0.0,1.0,0.0,68
468,@nytimes,0.0,Wed Aug 01 06:06:48 +0000 2018,0.0,1.0,0.0,69
469,@nytimes,0.0,Wed Aug 01 06:06:41 +0000 2018,0.0,1.0,0.0,70
470,@nytimes,0.0,Wed Aug 01 06:06:38 +0000 2018,0.0,1.0,0.0,71
471,@nytimes,0.2023,Wed Aug 01 06:06:32 +0000 2018,0.169,0.608,0.223,72
472,@nytimes,-0.5255,Wed Aug 01 06:06:31 +0000 2018,0.174,0.764,0.061,73
473,@nytimes,-0.2732,Wed Aug 01 06:06:29 +0000 2018,0.084,0.916,0.0,74
474,@nytimes,-0.5255,Wed Aug 01 06:06:26 +0000 2018,0.174,0.764,0.061,75
475,@nytimes,-0.0762,Wed Aug 01 06:06:23 +0000 2018,0.206,0.794,0.0,76
476,@nytimes,0.4678,Wed Aug 01 06:06:23 +0000 2018,0.0,0.776,0.224,77
477,@nytimes,-0.6249,Wed Aug 01 06:06:21 +0000 2018,0.267,0.627,0.106,78
478,@nytimes,0.0,Wed Aug 01 06:06:19 +0000 2018,0.0,1.0,0.0,79
479,@nytimes,-0.5255,Wed Aug 01 06:06:19 +0000 2018,0.174,0.764,0.061,80
480,@nytimes,0.4019,Wed Aug 01 06:06:16 +0000 2018,0.0,0.906,0.094,81
481,@nytimes,-0.5255,Wed Aug 01 06:06:16 +0000 2018,0.174,0.764,0.061,82
482,@nytimes,0.0,Wed Aug 01 06:06:09 +0000 2018,0.0,1.0,0.0,83
483,@nytimes,-0.5255,Wed Aug 01 06:06:09 +0000 2018,0.174,0.764,0.061,84
484,@nytimes,-0.3182,Wed Aug 01 06:06:09 +0000 2018,0.095,0.905,0.0,85
485,@nytimes,0.0,Wed Aug 01 06:06:01 +0000 2018,0.0,1.0,0.0,86
486,@nytimes,-0.7964,Wed Aug 01 06:05:50 +0000 2018,0.253,0.747,0.0,87
487,@nytimes,-0.5255,Wed Aug 01 06:05:50 +0000 2018,0.174,0.764,0.061,88
488,@nytimes,0.0,Wed Aug 01 06:05:46 +0000 2018,0.0,1.0,0.0,89
489,@nytimes,-0.5255,Wed Aug 01 06:05:41 +0000 2018,0.174,0.764,0.061,90
490,@nytimes,-0.4767,Wed Aug 01 06:05:39 +0000 2018,0.147,0.853,0.0,91
491,@nytimes,-0.4588,Wed Aug 01 06:05:34 +0000 2018,0.22,0.6,0.18,92
492,@nytimes,0.0,Wed Aug 01 06:05:21 +0000 2018,0.0,1.0,0.0,93
493,@nytimes,-0.6633,Wed Aug 01 06:05:17 +0000 2018,0.177,0.78,0.043,94
494,@nytimes,-0.3327,Wed Aug 01 06:05:11 +0000 2018,0.165,0.728,0.107,95
495,@nytimes,-0.2732,Wed Aug 01 06:05:05 +0000 2018,0.133,0.802,0.065,96
496,@nytimes,-0.5255,Wed Aug 01 06:05:05 +0000 2018,0.174,0.764,0.061,97
497,@nytimes,-0.7964,Wed Aug 01 06:05:04 +0000 2018,0.253,0.747,0.0,98
498,@nytimes,-0.5255,Wed Aug 01 06:04:56 +0000 2018,0.174,0.764,0.061,99
499,@nytimes,-0.3769,Wed Aug 01 06:04:48 +0000 2018,0.332,0.455,0.213,100
